run_id,stream,file,create_utc,write_utc,bytes
20260714.112046,ForwardRight,000000231500.jpg,2026-07-14T15:28:54.311Z,2026-07-14T15:28:54.313Z,628198
20260714.112046,ForwardRight,000000232000.jpg,2026-07-14T15:28:54.972Z,2026-07-14T15:28:54.972Z,635215
20260714.112046,ForwardRight,000000232500.jpg,2026-07-14T15:28:55.568Z,2026-07-14T15:28:55.573Z,645232
20260714.112046,ForwardRight,000000233000.jpg,2026-07-14T15:28:56.119Z,2026-07-14T15:28:56.122Z,653176
20260714.112046,ForwardRight,000000233500.jpg,2026-07-14T15:28:56.691Z,2026-07-14T15:28:56.693Z,655079
20260714.112046,ForwardRight,000000234000.jpg,2026-07-14T15:28:57.269Z,2026-07-14T15:28:57.273Z,628837
20260714.112046,ForwardRight,000000234500.jpg,2026-07-14T15:28:57.855Z,2026-07-14T15:28:57.860Z,601203
20260714.112046,ForwardRight,000000235000.jpg,2026-07-14T15:28:58.440Z,2026-07-14T15:28:58.440Z,588340
20260714.112046,ForwardRight,000000235500.jpg,2026-07-14T15:28:59.046Z,2026-07-14T15:28:59.049Z,588489
20260714.112046,ForwardRight,000000236000.jpg,2026-07-14T15:28:59.636Z,2026-07-14T15:28:59.641Z,581617
20260714.112046,ForwardRight,000000236500.jpg,2026-07-14T15:29:00.211Z,2026-07-14T15:29:00.217Z,585051
20260714.112046,ForwardRight,000000237000.jpg,2026-07-14T15:29:00.795Z,2026-07-14T15:29:00.801Z,590110
20260714.112046,ForwardRight,000000237500.jpg,2026-07-14T15:29:01.413Z,2026-07-14T15:29:01.417Z,600643
20260714.112046,ForwardRight,000000238000.jpg,2026-07-14T15:29:02.088Z,2026-07-14T15:29:02.088Z,599290
20260714.112046,ForwardRight,000000238500.jpg,2026-07-14T15:29:02.860Z,2026-07-14T15:29:02.865Z,602708
20260714.112046,ForwardRight,000000239000.jpg,2026-07-14T15:29:03.693Z,2026-07-14T15:29:03.696Z,584108
20260714.112046,ForwardRight,000000239500.jpg,2026-07-14T15:29:04.490Z,2026-07-14T15:29:04.490Z,563378
20260714.112046,ForwardRight,000000240000.jpg,2026-07-14T15:29:05.270Z,2026-07-14T15:29:05.272Z,554926
20260714.112046,ForwardRight,000000240500.jpg,2026-07-14T15:29:05.904Z,2026-07-14T15:29:05.909Z,544358
20260714.112046,ForwardRight,000000241000.jpg,2026-07-14T15:29:06.416Z,2026-07-14T15:29:06.421Z,537058
20260714.112046,ForwardRight,000000241500.jpg,2026-07-14T15:29:06.899Z,2026-07-14T15:29:06.903Z,527556
20260714.112046,ForwardRight,000000242000.jpg,2026-07-14T15:29:07.322Z,2026-07-14T15:29:07.322Z,523409
20260714.112046,ForwardRight,000000242500.jpg,2026-07-14T15:29:07.771Z,2026-07-14T15:29:07.771Z,523489
20260714.112046,ForwardRight,000000243000.jpg,2026-07-14T15:29:08.207Z,2026-07-14T15:29:08.207Z,530470
20260714.112046,ForwardRight,000000243500.jpg,2026-07-14T15:29:08.658Z,2026-07-14T15:29:08.658Z,523966
20260714.112046,ForwardRight,000000244000.jpg,2026-07-14T15:29:09.124Z,2026-07-14T15:29:09.124Z,513365
20260714.112046,ForwardRight,000000244500.jpg,2026-07-14T15:29:09.582Z,2026-07-14T15:29:09.582Z,506546
20260714.112046,ForwardRight,000000245000.jpg,2026-07-14T15:29:10.049Z,2026-07-14T15:29:10.055Z,535501
20260714.112046,ForwardRight,000000245500.jpg,2026-07-14T15:29:10.515Z,2026-07-14T15:29:10.515Z,525243
